2021-07-12T02:37:57+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 17

2021-07-12T02:39:57+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 17

2021-07-12T02:41:57+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 17

2021-07-12T02:43:26+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 17

2021-07-12T02:43:57+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 17

2021-07-12T02:44:43+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 17

2021-07-12T02:45:04+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 19

2021-07-12T02:45:11+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 25

2021-07-12T02:45:25+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 25

2021-07-12T02:45:33+00:00 CRITICAL syntax error, unexpected '}', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 35

2021-07-12T02:45:58+00:00 CRITICAL syntax error, unexpected '}', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 35

2021-07-12T02:46:12+00:00 CRITICAL syntax error, unexpected ';', expecting ')' in D:\wamp64\www\job\gco\wp\kho\2018\web-ban-hang\thefaceshop\wp-content\themes\thefaceshop\inc\head.php on line 25

