ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Số lượng tồn kho ít,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí,Tên thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính hiển thị 1,Thuộc tính toàn cục 1,Tên thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính hiển thị 2,Thuộc tính toàn cục 2,Tên thuộc tính 3,Giá trị thuộc tính 3,Thuộc tính hiển thị 3,Thuộc tính toàn cục 3,Tên thuộc tính 4,Giá trị thuộc tính 4,Thuộc tính hiển thị 4,Thuộc tính toàn cục 4,Tên thuộc tính 5,Giá trị thuộc tính 5,Thuộc tính hiển thị 5,Thuộc tính toàn cục 5,Tên thuộc tính 6,Giá trị thuộc tính 6,Thuộc tính hiển thị 6,Thuộc tính toàn cục 6,Tên thuộc tính 7,Giá trị thuộc tính 7,Thuộc tính hiển thị 7,Thuộc tính toàn cục 7,Meta: _wpcc_post_url
3064,simple,,Bán Biệt Phủ Lô Góc 3 Mt Của Chủ Tịch. Ngay Gần Tại Hồ Tùng Mậu Cầu Giấy..,1,0,visible,,"<p></p><div class=""description buy"">🏠🏠 Nhà xây 5 tầng kiên cố vững chắc đúng chuẩn bt..<br>– Diện tích hơn 100m view 3 mặt thoáng vĩnh viễn.<br>– Nhà của người tành đạt. Nên thừa nhà..<br>– sổ đỏ chính chủ vuông đẹp công chứng ngay..<br>🌸🌸 quý kách đc miễn phí tư vấn và đcj gạp chủ lv khi chốt giá’·<br>💲💲💲 Giá rẻ như tặng hơn chục tỷ..<br>☎️ ☎️ lh ngay mr Chinh để đc tư vấn..0589593999..0961334883</div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-phu-lo-goc-3-mt-cua-chu-tich.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-phu-lo-goc-3-mt-cua-chu-tich-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893507_990_ban-biet-phu-lo-goc-3-mt-cua-chu-tich.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893508_475_ban-biet-phu-lo-goc-3-mt-cua-chu-tich.jpg",,,,,,,,,0,Ngủ,—,1,1,Diện tích,105,1,1,Giá,12000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-phu-lo-goc-3-mt-cua-chu-tich-ngay-gan-tai-ho-tung-mau-cau-giay
3069,simple,,"Bán Biệt Thự Căn Góc 3 Mặt Thoáng 3.5 Tầng 168m2 Tasco Xuân Phương Kd, Cho Thuê Đầu Tư Tốt",1,0,visible,,"<p></p><div class=""description buy"">Cơ hội cuối cùng sở hữu căn góc 3 mặt thoáng đã hoàn thiện tại đường 30m trục chính Tasco Xuân Phương, ở sang, kinh doanh, cho thuê tốt, đầu tư tăng giá cao khi đường 70 mở. \n<p>–  Diện tích 168m2, căn góc 2 mặt đường, sử dụng được gần 200m2. <br>–  Nhà xây 3 tầng 1 tum, đã hoàn thiện nội thất cực đẹp. <br>–  Đường trước nhà 3 ôtô tránh, vỉa hè rộng, sau nhà có sân rộng. nhà có 3 mặt thoáng cực tiện làm văn phòng, quán cà phê, siêu thị,… <br>–  Nằm trong khu đô thị lớn có đầy đủ tiện ích như trường học, công viên cây xanh, hồ cảnh quan, khu thể thao, shophouse mua sắm, siêu thị,… <br>–  Nằm trên đường TL70 đang được mở rộng 50m (vị trí giao thông thuận tiện kết nối với Hà Đông, Mỹ Đình, Cầu Giấy… ), tiềm năng tăng giá cực cao. <br>  Nhà đã có sổ đỏ chính chủ. <br>Giá bán: 20 tỷ (có thương lượng). <br>  Cảm ơn đã đọc tin!</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-can-goc-3-mat-thoang-35-tang-600x332-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-can-goc-3-mat-thoang-35-tang.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892546_349_ban-biet-thu-can-goc-3-mat-thoang-35-tang.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892546_546_ban-biet-thu-can-goc-3-mat-thoang-35-tang.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892547_493_ban-biet-thu-can-goc-3-mat-thoang-35-tang.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892547_670_ban-biet-thu-can-goc-3-mat-thoang-35-tang.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892547_417_ban-biet-thu-can-goc-3-mat-thoang-35-tang.jpg",,,,,,,,,0,Ngủ,4,1,1,Diện tích,168,1,1,Giá,20000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-can-goc-3-mat-thoang-3-5-tang-168m2-tasco-xuan-phuong-kd-cho-thue-dau-tu-tot
3077,simple,,"Bán Biệt Thự Đồng Me Tm, 3 Ô Tô Tránh, Vỉa Hè 5m, 95m2 6 Tầng Mt 8mgiá Sốc 13 Tỷ.",1,0,visible,,"<p></p><div class=""description buy"">-Bạn nhờ bán gấp Biệt thự Đồng Me, thang máy, vỉa hè, 3 ô tô tránh, tiện ở hoặc cho thuê văn phòng, dòng tiền 60 triệu/tháng. <br>–  Diện tích 95m2, 6 tầng, MT 6,8m, 13 tỷ. ( thương lượng ) <br>+  Vị Trí đắc địa chủ nhà tự xây xung quanh toàn cán bộ cao cấp gần các trường học liên cấp, có thể ở kết hợp làm văn phòng, tiếp khách. <br>+  Đường đôi Mễ Trì, Đồng Me, khu Liền kề cao cấp, lưu thông thuận lợi, Mễ trì, Phạm Hùng, Lê Quang Đạo, Tiện ích không thiếu gì. <br>+  Chủ nhà xây dựng tỉ mỉ thiết kế hiện đại 2 mặt thoáng, giếng trời. <br>–  Tầng hầm đỗ được 2 ô tô đỗ, 1 wc, phòng kho. <br>–  Tầng 2 phòng khách sang trọng, bếp. <br>–  Tầng 3,4 phòng master víp. <br>–  Tầng 5 thông sàn. <br>–  Tầng 6 sân vườn, bàn trà đẳng cấp, ngắm Bình Minh, Hoàng Hôn. <br>+  Sổ đỏ chính chủ, pháp lý rõ ràng. <br>– LH:0919988236 Mr Trung -chuyên thổ cư <br>– Để được tư vấn và xem nhà hoàn toàn miễn phí</div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-dong-me-tm-3-o-to-tranh-600x339-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-dong-me-tm-3-o-to-tranh.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892186_340_ban-biet-thu-dong-me-tm-3-o-to-tranh.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892186_495_ban-biet-thu-dong-me-tm-3-o-to-tranh.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892186_189_ban-biet-thu-dong-me-tm-3-o-to-tranh.jpg",,,,,,,,,0,Ngủ,6,1,1,Diện tích,95,1,1,Giá,13000000000,1,1,Tắm,—,1,1,Hướng,Đông Nam,1,1,Địa chỉ,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội, 0914663166, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-dong-me-tm-3-o-to-tranh-via-he-5m-95m2-6-tang-mt-8mgia-soc-13-ty
3083,simple,,"Bán Biệt Thự Hàm Nghi Mỹ Đình Lô Góc 119m2 X 4 Tầng Mặt Tiền 8,2m – Nhìn Vườn Hoa – 23.5ty",1,0,visible,,"<p></p><div class=""description buy"">Bán biệt thự Hàm Nghi Mỹ Đình lô góc 2 mặt đường ô tô. \n<p>–  Diện tích: 119m2 x 4 tầng.+ gara  <br>–  Mặt tiền 8,2m. <br>–  Nhìn vườn hoa rất thoáng đẹp. <br>–  Đường thông khu dân trí cao, nhiều dịch vụ như chợ, siêu thị, các trường học liên cấp chất lượng quốc tế, trường Đoàn Thị Điểm, Việt Úc, Vinschool để ở rất đẹp vì nhiều cây xanh, công viên. <br>Nhà đang cho thuê văn phòng công ty 25 triệu/tháng. Ra trung tâm gần an ninh cực tốt. <br>Lh 0948 334 587.</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-ham-nghi-my-dinh-lo-goc-119m2.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-ham-nghi-my-dinh-lo-goc-119m2-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640891585_719_ban-biet-thu-ham-nghi-my-dinh-lo-goc-119m2.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640891585_811_ban-biet-thu-ham-nghi-my-dinh-lo-goc-119m2.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640891585_769_ban-biet-thu-ham-nghi-my-dinh-lo-goc-119m2.jpg",,,,,,,,,0,Ngủ,—,1,1,Diện tích,119,1,1,Giá,23500000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-ham-nghi-my-dinh-lo-goc-119m2-x-4-tang-mat-tien-82m-nhin-vuon-hoa-23-5ty
3089,simple,,"Bán Biệt Thự Kdt Đại Mỗ 100m2,5 Tầng Thang Máy Nhập Khẩu Nội Thất Xin Mịm Giá 17 Tỷ.",1,0,visible,,"<p></p><div class=""description buy"">bán nhà biệt thự khu đô thị Louis city Đại mỗ 100m2,5 tầng thang máy nhập khẩu nội thất xịn xò  Tầng 1, Gara ô tô +wc,tầng 2 phòng khách,phòng ngủ khép kín,tầng 3,4 mỗi tầng 2 phòng ngủ+wc,tầng 5 phòng thờ,phòng ăn,bếp,kho chứa đồ,wc,sổ đỏ chính chủ sẵn sàng giao dịch,Lh xem nhà 0912698670/0975020860.</div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-dai-mo-100m25-tang-thang-may-600x339-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-dai-mo-100m25-tang-thang-may.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890811_106_ban-biet-thu-kdt-dai-mo-100m25-tang-thang-may.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890811_367_ban-biet-thu-kdt-dai-mo-100m25-tang-thang-may.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890811_246_ban-biet-thu-kdt-dai-mo-100m25-tang-thang-may.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890811_566_ban-biet-thu-kdt-dai-mo-100m25-tang-thang-may.jpg",,,,,,,,,0,Ngủ,—,1,1,Diện tích,100,1,1,Giá,1700000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-kdt-dai-mo-100m25-tang-thang-may-nhap-khau-noi-that-xin-mim-gia-17-ty
3096,simple,,"Bán Biệt Thự Kdt Mỹ Đình , Mp Bùi Xuân Phái",1,0,visible,,"<p></p><div class=""description buy"">Nhà Biệt Thự khu đô thị Mỹ Đình. \n<p>–  Vị trí ngôi Biệt Thự toạ lạc trong khu vực vip trong dự án , mặt đường nhựa vỉa hè rộng 2 bên. </p>\n<p>–  Diện tích 200m2/ Mặt tiền :10m. </p>\n<p>–  Thiết kế 4 tầng: Bao gồm 5 Pn + Gara oto  có thể để 3 xe. </p>\n<p>– Nội thất đẹp , sàn gỗ gỗ Hương , thiết bị bếp và nhà vệ sinh được trang bị tiêu chuẩn 5 sao. </p>\n<p>–  Giá bán 32,5 tỷ. <br> _____  Anh chị quan tam liên hệ: <br>Xin cảm ơn</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-my-dinh-mp-bui-xuan.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-my-dinh-mp-bui-xuan-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893627_44_ban-biet-thu-kdt-my-dinh-mp-bui-xuan.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893627_939_ban-biet-thu-kdt-my-dinh-mp-bui-xuan.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893627_402_ban-biet-thu-kdt-my-dinh-mp-bui-xuan.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893627_664_ban-biet-thu-kdt-my-dinh-mp-bui-xuan.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893627_926_ban-biet-thu-kdt-my-dinh-mp-bui-xuan.jpg",,,,,,,,,0,Ngủ,5,1,1,Diện tích,600,1,1,Giá,32500000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-kdt-my-dinh-mp-bui-xuan-phai
3104,simple,,"Bán Biệt Thự Kdt Mỹ Đình 140m2 , 4 Tầng Giá 27,5 Tỷ.",1,0,visible,,"<p></p><div class=""description buy"">BIỆT THỰ – LÔ GÓC – PHONG CÁCH CHÂU ÂU – SANG -XỊN – MỊN – TẶNG NỘI THẤT NHẬP KHẨU – KHU VIP MỸ ĐÌNH – SỐNG HƯỞNG THỤ. <br> Diện tích 140m2 , mặt tiền lô góc    T1: Sân vườn, gara ô tô, phòng khách cực rộng, đẹp, phòng ăn phòng bếp, WC. <br>Phòng nhỏ trên gara có thể làm kho hoặc có thể làm phòng của giúp việc. \n<p>–  T2: 1 phòng master và 1 phòng nghe nhạc, 1 phòng ngủ có phòng thay đồ, phòng nào cũng có cửa sổ và ban công. </p>\n<p>–  T3: 2 ngủ, 1 ngủ master và 1 ngủ có phòng thay đồ kèm bàn trang điểm, 1 phòng làm việc, học. </p>\n<p>–  T4: Phòng thờ, phòng giặt đồ, phòng phơi, sân trồng rau. </p>\n<p>+  Sổ đỏ chính chủ sẵn sàng giao dịch. <br> Gía 27,5 tỷ ( có thương lượng ) miễn trung gian.</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-my-dinh-140m2-4-tang-600x308-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-my-dinh-140m2-4-tang.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640889676_12_ban-biet-thu-kdt-my-dinh-140m2-4-tang.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640889676_855_ban-biet-thu-kdt-my-dinh-140m2-4-tang.jpg",,,,,,,,,0,Ngủ,5,1,1,Diện tích,140,1,1,Giá,27500000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-kdt-my-dinh-140m2-4-tang-gia-275-ty
3109,simple,,"Bán Biệt Thự Kđt Hd Mon Hàm Nghi: Lô Góc, Ngã Tư Phố, Kinh Doanh-Vp Đẳng Cấp, Nhỉnh 40 Tỷ",1,0,visible,,"<p></p><div class=""description buy"">Bán biệt thự khu đô thị HD Mon Hàm Nghi, Nam Từ Liêm. <br>+  Vị trí nhà cực VIP: Khu đô thị HD Mon toạ lạc ngay góc ngã tư Hàm Nghi – Lê Đức Thọ – Nguyễn Cơ Thạch – Nguyễn Hoàng, cạnh Khu đô thị Mỹ Đình, Vinhomes Gadenia, ba bước ra Sân vận động Quốc Gia, đường đua F1. Nhà bán vị trí lô góc giữa ngã 4 đường, ô tô tránh, dừng đỗ ngày đêm, khu kinh doanh, văn phòng đẳng cấp. \n<p>+  Diện tích 120m2, 6 tầng, mặt tiền 10m, thiết kế hiện đại phong cách Châu Âu. <br>+  Sổ đỏ chính chủ, vuông bánh chưng, không lỗi phong thuỷ, sẵn sàng sang tên. <br>+  Chủ thiện chí bán, thương lượng giá tốt. <br>+  Liên hệ Mr Tuân: 0918-030-638. Xem nhà, hỗ trợ pháp lý từ A-Z hoàn toàn Miễn Phí. (Miễn trung gian, Môi giới).</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-hd-mon-ham-nghi-lo-goc-600x332-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-hd-mon-ham-nghi-lo-goc.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893085_592_ban-biet-thu-kdt-hd-mon-ham-nghi-lo-goc.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640893085_599_ban-biet-thu-kdt-hd-mon-ham-nghi-lo-goc.jpg",,,,,,,,,0,Ngủ,10,1,1,Diện tích,120,1,1,Giá,40000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-kdt-hd-mon-ham-nghi-lo-goc-nga-tu-pho-kinh-doanh-vp-dang-cap-nhinh-40-ty
3114,simple,,"Bán Biệt Thự Kđt Mỹ Đình 1-Đẳng Cấp Châu Âu-Lô Góc: 150m2*4t, Chỉ 28 Tỷ",1,0,visible,,"<p></p><div class=""description buy"">Bán biệt thự khu đô thị Mỹ Đình 1, quận Nam Từ Liêm, Hà Nội. \n<p>+  Vị trí nhà cực VIP, nằm trong khu đô thị đáng sống bậc nhât Hà Nội, lô góc thoáng sáng, đường to như phố, 3 ô tô tránh, vỉa hè 2 bên, thông Lê Đức Thọ, Hàm Nghi, Nguyễn Cơ Thạch, Lưu Hữu Phước. Không gian cây xanh ngợp bóng, không khí trong lành, hạ tầng đồng bộ sạch đẹp, dân trí cao, xung quanh toàn cán bộ cao cấp ở, an ninh cực tốt, tiện ích không thiếu thứ gì. <br>+  Nhà BIỆT THỰ 4 tầng đẹp đẳng cấp, thiết kế hiện đại thông minh tinh tế tiện dùng theo phong cách Châu Âu, nội thất ngoại nhập cực xịn giá hàng tỷ đồng, toàn bộ hệ thống cửa chịu lực chống ồn cách bụi cách nhiệt loại tốt nhất. <br>+  Nhà lô góc nên phòng nào cũng có cửa sổ ban công tràn ngập ánh sáng tự nhiên. Chủ thành đạt, tặng lại toàn bộ nội thất nhập ngoại xịn xò trị giá hàng tỷ đồng. <br>+  Sổ đỏ chính chủ, vuông bánh chưng, không lỗi phong thuỷ, sẵn sàng sang tên. <br>+  Chủ thiện chí bán, thương lượng giá tốt. <br>+  Liên hệ Mr Tuân: 0918-030-638. Xem nhà, hỗ trợ pháp lý từ A-Z hoàn toàn Miễn Phí. (Miễn trung gian, Môi giới).</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-my-dinh-1-dang-cap-chau-au-lo-600x332-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-kdt-my-dinh-1-dang-cap-chau-au-lo.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890890_584_ban-biet-thu-kdt-my-dinh-1-dang-cap-chau-au-lo.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890891_88_ban-biet-thu-kdt-my-dinh-1-dang-cap-chau-au-lo.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890891_913_ban-biet-thu-kdt-my-dinh-1-dang-cap-chau-au-lo.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640890891_111_ban-biet-thu-kdt-my-dinh-1-dang-cap-chau-au-lo.jpg",,,,,,,,,0,Ngủ,4,1,1,Diện tích,150,1,1,Giá,28000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-kdt-my-dinh-1-dang-cap-chau-au-lo-goc-150m24t-chi-28-ty
3121,simple,,"Bán Biệt Thự Khu Đô Thị Mỹ Đình Sông Đà Sudico, Cạnh Công Viên, 194m2, Giá 28.8 Tỷ",1,0,visible,,"<p></p><div class=""description buy"">+ Khu biệt thự nằm trên trục đường đôi Mễ Trì, Phạm Hùng, đối diện Keangnam Landmark 72, thủ phủ thu nhỏ của người Hàn Quốc và Nhật Bản, cảnh quan đẹp mê hồn. \n<p>+  Vị trí đẹp, công viên cây xanh bao bọc quanh nhà, đẹp nhất khu biệt thự. </p>\n<p>+  Khu vực yên tĩnh, dân trí cao, an ninh tốt, an sinh đỉnh. </p>\n<p>+  Sổ đỏ chính chủ đẹp, pháp lý chuẩn, sẵn sàng giao dịch. </p>\n<p>+  Giá: 28.8 tỷ có thương lượng. </p>\n<p>+  Liên hệ: Mrs Liên để được xem Nhà Đẹp.</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Biệt thự,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-khu-do-thi-my-dinh-song-da-600x332-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-khu-do-thi-my-dinh-song-da.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892304_578_ban-biet-thu-khu-do-thi-my-dinh-song-da.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892304_152_ban-biet-thu-khu-do-thi-my-dinh-song-da.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892305_880_ban-biet-thu-khu-do-thi-my-dinh-song-da.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892305_796_ban-biet-thu-khu-do-thi-my-dinh-song-da.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640892305_280_ban-biet-thu-khu-do-thi-my-dinh-song-da.jpg",,,,,,,,,0,Ngủ,6,1,1,Diện tích,194,1,1,Giá,28800000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội, 0914663166, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-khu-do-thi-my-dinh-song-da-sudico-canh-cong-vien-194m2-gia-28-8-ty
