ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Số lượng tồn kho ít,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí,Tên thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính hiển thị 1,Thuộc tính toàn cục 1,Tên thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính hiển thị 2,Thuộc tính toàn cục 2,Tên thuộc tính 3,Giá trị thuộc tính 3,Thuộc tính hiển thị 3,Thuộc tính toàn cục 3,Tên thuộc tính 4,Giá trị thuộc tính 4,Thuộc tính hiển thị 4,Thuộc tính toàn cục 4,Tên thuộc tính 5,Giá trị thuộc tính 5,Thuộc tính hiển thị 5,Thuộc tính toàn cục 5,Tên thuộc tính 6,Giá trị thuộc tính 6,Thuộc tính hiển thị 6,Thuộc tính toàn cục 6,Tên thuộc tính 7,Giá trị thuộc tính 7,Thuộc tính hiển thị 7,Thuộc tính toàn cục 7,Meta: _wpcc_post_url
3984,simple,,"[Bán Gấp] Nhà Mới Hòe Thị, Phương Canh – Ô Tô Đỗ, Ở Ngay, 5 Tầng, Nhỉnh 3 Tỷ.",1,0,visible,,"<p></p><div class=""description buy"">• Trước nhà ô tô đỗ cửa, quay đầu. Chỉ mất 5 phút ra Mỹ Đình, 10 phút ra bến xe Mỹ Đình, trước nhà thoáng sáng, không gian yên tĩnh. Cách Mầm non Phương Canh 50m, ngay sát trường FPT. <br>• Tương lai hạ tầng và các dự án quanh nhà đang triển khai rầm rộ, nhà cách đường lớn chỉ 10m, giá trị tăng cao. <br>•  Thiết kế tầng 1 phòng rộng, vệ sinh khép kín. T1 có thể làm Gara nếu có nhu cầu để Ô tô trong nhà. <br>• Sổ đỏ vuông đẹp, có chút nở hậu. <br> • Miễn Phí Tư Vấn Xem Nhà Hỗ Trợ Thủ Tục Pháp Lý, Để Không Bỏ Lỡ Liên Hệ: 0982.809.803 (Em Đại – Thổ cư )  • TƯ VẤN TẬN TÂM – NÂNG TẦM GIÁ TRỊ !!!</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-moi-hoe-thi-phuong-canh-e28093-o-600x339-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-moi-hoe-thi-phuong-canh-e28093-o.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640871307_515_ban-gap-nha-moi-hoe-thi-phuong-canh-e28093-o.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640871307_756_ban-gap-nha-moi-hoe-thi-phuong-canh-e28093-o.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640871307_257_ban-gap-nha-moi-hoe-thi-phuong-canh-e28093-o.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640871308_737_ban-gap-nha-moi-hoe-thi-phuong-canh-e28093-o.jpg",,,,,,,,,0,Ngủ,4,1,1,Diện tích,32,1,1,Giá,3000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội, 100925, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-gap-nha-moi-hoe-thi-phuong-canh-o-to-do-o-ngay-5-tang-nhinh-3-ty
3991,simple,,"[Mới] Bán Nhà Xuân Phương, Đẹp Rẻ, Sổ Vuông, Ở Ngay, Chỉ 2,8 Tỷ.",1,0,visible,,"<p></p><div class=""description buy"">• Chỉ 74tr/m2 Sở hữu ngay căn nhà Mới đẹp Trung tâm Quận Nam Từ Liêm. <br>• Nhà nằm ở vị trí giao thông đi lại thuận tiện, thông sang các trục đường chính, gần trường, gần chợ,…  • Ngõ trước nhà rộng ba gác tránh xe máy, ngõ thẳng, gần phố. <br>• Nhà thiết kế 4 tầng, diện tích: 38m2, 4 phòng ngủ, rộng rãi và tiện nghi. <br>• Với tầm giá nà có rất ít nhà có diện tích rộng hơn. <br>• Sổ đỏ chính chủ, pháp lý sạch sẵn sàng giao dịch. <br>• Miễn Phí Tư Vấn Xem Nhà Hỗ Trợ Thủ Tục Pháp Lý, Để Không Bỏ Lỡ Liên Hệ: 0982.809.803 (Em Đại – Thổ cư )  • TƯ VẤN TẬN TÂM – NÂNG TẦM GIÁ TRỊ !!!</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/moi-ban-nha-xuan-phuong-dep-re-so-vuong-o-600x270-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/moi-ban-nha-xuan-phuong-dep-re-so-vuong-o.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640863326_620_moi-ban-nha-xuan-phuong-dep-re-so-vuong-o.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640863326_243_moi-ban-nha-xuan-phuong-dep-re-so-vuong-o.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640863326_163_moi-ban-nha-xuan-phuong-dep-re-so-vuong-o.jpg",,,,,,,,,0,Ngủ,4,1,1,Diện tích,38,1,1,Giá,2800000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/moi-ban-nha-xuan-phuong-dep-re-so-vuong-o-ngay-chi-28-ty
3997,simple,,6t X Thang Máy X 11 Căn Hộ Khép Kín X Mỹ Đình,1,0,visible,,"<p></p><div class=""description buy"">*CCMN 6Tầng ,  11 căn hộ nhỏ  khép kín đủ hết nội thất sẵn sách vali đến ở – Tháng máy hiện đại và khoá từ vân tay <br>*  Nhà xây thiết kế hiện đại 6 tầng  <br>–  Diện tích rộng không tưởng , mặt tiền lớn  Tầng 1 : để xe + 1 Phòng  Tầng 2,3,4,5,6: mỗi tầng 2 căn hộ khép kín <br>*  Thiết kế 11 phòng studio mới tinh đẹp như chung cư cao cấp tháng thu đều tiền 80tr hiện tại đang kín phòng sẵn sang tên thu tiền. <br>*  Vị trí: Nằm ở ngay Lê Đức Thọ xung quanh là các trường học , chợ, trường đại học, bến xe, quân đội và công an phường, kinh doanh cực tốt,  xung quanh là cửa hàng, tạp hóa, hàng quán bán đồ ăn, cafe, spa. Khu vực đông đúc dân cư, buôn bán, đầy đủ tiện nghi, dân trí cao, an ninh tốt. <br>*  Nội thất: Cầu thang mặt bậc và cửa thông phòng là gỗ Lim, bếp từ, hút mùi, quạt trần, điều hòa nóng lạnh, giường tủ,… Nhà đã lắp đặt hệ thống camera an ninh.. <br>*  Sổ đỏ chính chủ,sạch sẽ + bản vẽ thiết kế + giấy phép xây dựng đầy đủ. <br> $Giá bán: 10 tỷ thương lượng sâu$  Liên Hệ Em Nam :</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/6t-x-thang-may-x-11-can-ho-khep-kin-600x348-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/6t-x-thang-may-x-11-can-ho-khep-kin.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640861285_641_6t-x-thang-may-x-11-can-ho-khep-kin.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640861285_585_6t-x-thang-may-x-11-can-ho-khep-kin.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640861285_759_6t-x-thang-may-x-11-can-ho-khep-kin.jpg",,,,,,,,,0,Ngủ,11,1,1,Diện tích,60,1,1,Giá,10000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/6t-x-thang-may-x-11-can-ho-khep-kin-x-my-dinh
4003,simple,,7t X 30 Căn Hộ Mini X Phân Lô Vỉa Hè Kinh Doanh X Phùng Khoang,1,0,visible,,"<p></p><div class=""description buy"">*CCMN 7 Tầng oto vào nhà,  30 căn hộ nhỏ  khép kín Ô thang máy siêu đẹp tháng thu 200tr tháng <br>*  Nhà xây thiết kế hiện đại 7 tầng thang máy hiện đại mới tinh <br>–  Phân lô vỉa hè 2 bên , để 10 oto vòng quanh <br>–  Diện tích rộng không tưởng , mặt tiền 6m <br>*  Thiết kế 30 phòng studio mới tinh đẹp như chung cư cao cấp tháng thu đều tiền 200tr hiện tại đang kín phòng sẵn sang tên thu tiền. <br>*  Vị trí: Nằm ở ngay Phùng Khoang xung quanh là các trường học , chợ, trường đại học, bến xe, quân đội và công an phường, kinh doanh cực tốt,  xung quanh là cửa hàng, tạp hóa, hàng quán bán đồ ăn, cafe, spa. Khu vực đông đúc dân cư, buôn bán, đầy đủ tiện nghi, dân trí cao, an ninh tốt. <br>*  Nội thất: Cầu thang mặt bậc và cửa thông phòng là gỗ Lim, bếp từ, hút mùi, quạt trần, điều hòa nóng lạnh, giường tủ,… Nhà đã lắp đặt hệ thống camera an ninh.. <br>*  Sổ đỏ chính chủ,sạch sẽ + bản vẽ thiết kế + giấy phép xây dựng đầy đủ. <br> $Giá bán: 15 tỷ nhỉnh thương lượng sâu$  Liên Hệ Em Nam</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/7t-x-30-can-ho-mini-x-phan-lo-via.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/7t-x-30-can-ho-mini-x-phan-lo-via-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640865065_747_7t-x-30-can-ho-mini-x-phan-lo-via.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640865065_260_7t-x-30-can-ho-mini-x-phan-lo-via.jpg",,,,,,,,,0,Ngủ,30,1,1,Diện tích,105,1,1,Giá,15000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/7t-x-30-can-ho-mini-x-phan-lo-via-he-kinh-doanh-x-phung-khoang
4008,simple,,Bán Biệt Thự Phùng Khoang – Nam Từ Liêm – Diện Tích 150m – 4 Tầng- Mt 8.1m – 16.5tỷ.,1,0,visible,,"<p></p><div class=""description buy"">*** Mô tả : \n<p>–  Vì trí đẹp, căn biệt thự 4 tầng xây xựng theo phong cách hiện đại, nằm trong lòng khu đô thị Phùng Khoang, rợp bóng cây xanh .An sinh đỉnh, dân trí cao, hàng xóm xung quanh toàn quan chức cán bộ, an ninh tốt bảo vệ trực 24/24. <br>–  Chủ nhà tự xây tâm huyết để ở, thiết kế hiện đại, đầy đur công năng cho đại gia đình, nội thất sang xịn, thiết bị vệ sinh cao cấp. Chủ nhà tặng lại toàn bộ nội thất cho khách mới. <br>Gara ô tô riêng biệt, sạch sẽ. </p>\n<p>+  Tầng 1 : phòng khách, bếp, gara ô tô riêng biệt. </p>\n<p>+  Tầng 2 : 3 phòng ngủ, vệ sinh. </p>\n<p>+  Tầng 3, 1 phòng ngủ Master, 1 phòng ngủ nhỏ,     <br>+  Tầng 4 : phòng thờ sân phơi, 1 phòng rộng để tổ chức tiệc tùng cho gia đình. <br>–  Tiện ích xung quanh khu vực đầy đủ không thiếu thứ gì, từ trừng học bệnh viện, các trường đại học lớn như Học Viện An Ninh, Đại học Kiến Trúc,xung quanh rất nhiều khu căn hộ cao cấp. Khu an sinh tuyệt vời, đường phân lô toàn ô tô tải tránh. Giao thông thuận tiện. <br>–  Sổ đỏ chính chủ , giao dịch ngay . <br>* ** Liên hệ ngay : 076.654.6789</p></div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-phung-khoang-nam-tu-liem.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-biet-thu-phung-khoang-nam-tu-liem-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640868308_781_ban-biet-thu-phung-khoang-nam-tu-liem.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640868308_837_ban-biet-thu-phung-khoang-nam-tu-liem.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640868308_143_ban-biet-thu-phung-khoang-nam-tu-liem.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640868309_486_ban-biet-thu-phung-khoang-nam-tu-liem.jpg",,,,,,,,,0,Ngủ,4,1,1,Diện tích,150,1,1,Giá,16500000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-biet-thu-phung-khoang-nam-tu-liem-dien-tich-150m-4-tang-mt-8-1m-16-5ty
4015,simple,,"Bán Đất Lê Quang Đạo Kinh Doanh Tốt,Ô Tô Vào,58x5m2m2,,Giá 4.9 Tỷ",1,0,visible,,"<p></p><div class=""description buy"">+ Cần Bán nhà lê quang đạo ô tô vào,nhà tự xây thiết kế lý,còn như mới <br>+  Diện Tích 58 m2 ,, Mảnh Đất Thuộc Ngõ Rộng Lớn Ô Tô Vào Thoải Mái  Xung Quanh Nhiều Tiện Ích,An Ninh Tốt,buôn bán kinh doanh sầm uốt,  Phù Hợp Với Đầu Tư Và Xây Nhà Trọ Cho Thuê <br>+  Tầng1 : Kinh doanh,tầng lửng của khách <br>+  Tầng 3,4: Mỗi tầng 2 phòng ngủ, 2 vệ sinh <br>+  Tầng 5: 2 sân phơi <br>+  Sổ Đỏ vuông vắn sẵn sàng giao dịch <br>+  Gía hợp lý:4.9 tỷ</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-dat-le-quang-dao-kinh-doanh-toto-to-vao58x5m2m2gia.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-dat-le-quang-dao-kinh-doanh-toto-to-vao58x5m2m2gia-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640862186_579_ban-dat-le-quang-dao-kinh-doanh-toto-to-vao58x5m2m2gia.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640862186_389_ban-dat-le-quang-dao-kinh-doanh-toto-to-vao58x5m2m2gia.jpg",,,,,,,,,0,Ngủ,—,1,1,Diện tích,58,1,1,Giá,4900000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-dat-le-quang-dao-kinh-doanh-toto-to-vao58x5m2m2gia-4-9-ty
4020,simple,,"Bán Đất Tặng Nhà.Ngọc Trục Quận Nam Từ Liêm 58m2 Mt 5,9m Giá 3,3 Tỷ.",1,0,visible,,"<p></p><div class=""description buy"">#Ô TÔ VÀO NHÀ – VỊ TRÍ ĐẸP – NHÀ ĐẸP – SỔ ĐỎ ĐẸP –<br>DIỆN TÍCH RỘNG – DÂN TRÍ CAO. LH – 0367881376.<br>#Diện tích : 58m2<br>#Mặt tiền : 5,9m<br>#GIÁ : 3,3 TỶ<br>Mô tả:<br>#Vị trí đẹp, Ngõ ôtô, mặt trước thoáng sáng .<br> #Cách chợ Ngọc Trục 200m, xung quanh là trường mầm non Đại Mỗ, trường cấp 1,2, 3 Đại Mỗ. Khu vực đang phát triển từng ngày, giá đất đang tăng chóng mặt tương lai mở đường thanh bình, tô hữu chạy vinhom Đại Mỗ.<br>#Nhà hiện trạng c4<br>xác định bán đất đang cho thuê 5/ tr<br> #SỔ ĐỎ CHÍNH CHỦ, săn sàng giao dịch.<br>#LH – CHUNG MAI 0367881376 – 0833582223 – 0922777292.<br>#CHUNG_NHÀ_ĐẸP.<br>#BÁN_NHÀ_THỔ_CƯ_HÀ_NỘI.<br>#QUẬN_NAM_TỪ_LIÊM.</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-dat-tang-nhangoc-truc-quan-nam-tu-liem-58m2.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-dat-tang-nhangoc-truc-quan-nam-tu-liem-58m2-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640861763_837_ban-dat-tang-nhangoc-truc-quan-nam-tu-liem-58m2.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640861763_274_ban-dat-tang-nhangoc-truc-quan-nam-tu-liem-58m2.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640861763_859_ban-dat-tang-nhangoc-truc-quan-nam-tu-liem-58m2.jpg",,,,,,,,,0,Ngủ,1,1,1,Diện tích,58,1,1,Giá,3300000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-dat-tang-nha-ngoc-truc-quan-nam-tu-liem-58m2-mt-59m-gia-33-ty
4026,simple,,"Bán Gấp Nhà Cầu Diễn,Nam Từ Liêm,Ở Ngay,Plô,Ô Tô Tránh, 36mx5t, Nhỉnh 3 Tỷ.",1,0,visible,,"<p></p><div class=""description buy"">Siêu phẩm gần Đại học Công Nghiệp Hà Nội, ô tô đỗ cửa, giao thông thuận tiện các ngả, cách trục đường đôi Cầu Giấy- Hồ Tùng Mậu- Cầu Diễn-QL32 vài bước. <br> Tiện ích ngập tràn  TTYT, chợ, siêu thị ngay cổng, xung quanh cũng là các trường phổ thông chất lượng các cấp và ĐH Tài Nguyên Môi Trường, CĐ In, CĐ Y Dược …. <br>Nhà mới, đẹp, thiết kế tâm huyết, BTCT 5 tầng chắc chắn, các phòng sáng, thoáng tối ưu công năng sử dụng, nội thất VIP. <br>Diện tích: 36m2   Liên hệ theo số điện thoại hoặc inbox 24/24h  Miễn phí 100% dịch vụ từ kể từ xem đến lúc mua nhà  Hãy chia sẻ nhu cầu thực tế của quý anh chị để có thể sở hữu căn nhà phù hợp trong thời gian ngắn nhất  Khuyến khích quý anh chị gọi điện để đi xem và chọn căn nhà phù hợp với mình thay vì chỉ đọc và nghe thông tin.</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-cau-diennam-tu-liemo-ngayploo-to-tranh.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-cau-diennam-tu-liemo-ngayploo-to-tranh-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640866689_262_ban-gap-nha-cau-diennam-tu-liemo-ngayploo-to-tranh.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640866689_769_ban-gap-nha-cau-diennam-tu-liemo-ngayploo-to-tranh.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640866689_706_ban-gap-nha-cau-diennam-tu-liemo-ngayploo-to-tranh.jpg",,,,,,,,,0,Ngủ,4,1,1,Diện tích,36,1,1,Giá,3000000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-gap-nha-cau-diennam-tu-liemo-ngayploo-to-tranh-36mx5t-nhinh-3-ty
4032,simple,,Bán Gấp Nhà Hồ Tùng Mậu – Ngõ Thông – Kinh Doanh – Ô Tô Đỗ Cửa – Giá Hiếm 3.2 Tỷ,1,0,visible,,"<p></p><div class=""description buy"">Ở NGAY Nhà Hồ Tùng Mậu- NGÕ THÔNG – KINH DOANH – Ô TÔ ĐỖ CỬA – Ô TÔ TRÁNH CÁCH 10M. <br>–  Nhà tự xây, chắc chắn, kiên cố, vị trí đẹp, ngõ thông kinh doanh tốt, cách mặt đường Cầu Diễn khoảng 100m. <br>–  Ngõ rộng ô tô tránh, thông sang phố Kiều Mai. trung tâm các trường học Điểm như THPT HES, Nguyễn Thị Minh Khai, các trường chuyên liên cấp quanh khu vực có đủ cả. <br>–  Hiện tại chủ vừa ở vừa cho thuê kinh doanh tầng một. <br>–  Thiết kế đầy đủ công năng sử dụng cho hộ gia đình. <br>–  LH Ms Linh: 094 985 9830 để được xem nha TV pháp lý, thủ tục sang sổ, vay vốn nếu có.</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-ho-tung-mau-ngo-thong-600x339-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-ho-tung-mau-ngo-thong.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640868908_288_ban-gap-nha-ho-tung-mau-ngo-thong.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640868909_722_ban-gap-nha-ho-tung-mau-ngo-thong.jpg",,,,,,,,,0,Ngủ,4,1,1,Diện tích,36,1,1,Giá,3200000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-gap-nha-ho-tung-mau-ngo-thong-kinh-doanh-o-to-do-cua-gia-hiem-3-2-ty
4037,simple,,"Bán Gấp Nhà Lê Đức Thọ – Nam Từ Liêm. Kinh Doanh Ô Tô. 88mx4t Mt 4,6m Giá 9.8 Tỷ",1,0,visible,,"<p></p><div class=""description buy"">Bán Gấp Nhà Lê Đức Thọ – Nam Từ Liêm. Kinh Doanh Ô TÔ. 88Mx4T MT 4,6m GIÁ 9.8 TỶ.0869259658<br>PHÂN LÔ – Ô TÔ TRÁNH – Ô TÔ VÀO NHÀ –<br>KINH DOANH- TRUNG TUNG TÂM MỸ ĐÌNH<br>+ Vị Trí trung tâm Mỹ Đình dân cư đông đúc nhộn nhịp. Bên cạnh là đường Lê Đức Thọ, Nguyễn Hoàng, SVĐ Mỹ Đình.<br>+ Nhà 4 tầng chủ tự xây chắc chắn, có thể nâng 8 tầng thoải mái. Nhà đang kinh doanh cho thuê 50tr/tháng.<br>+ Thiết kế nhà gồm khách bếp, 6 phòng ngủ rộng vệ sinh khép kín đầy đủ công năng.<br>+ Sổ vuông đét, cất két sẵn sàng giao dịch.<br>Liên Hệ Trung Kiên 0869259658. Chuyên Nhà đất thổ cư Hà Nội.</div>",,,taxable,,1,,,0,0,,,,,0,,,,Nhà mặt đất,,,"https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-le-duc-tho-nam-tu-liem-600x339-1.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/ban-gap-nha-le-duc-tho-nam-tu-liem.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640863925_485_ban-gap-nha-le-duc-tho-nam-tu-liem.jpg, https://bds.mrlove.me/wp-content/uploads/2021/12/1640863925_115_ban-gap-nha-le-duc-tho-nam-tu-liem.jpg",,,,,,,,,0,Ngủ,6,1,1,Diện tích,88,1,1,Giá,9800000000,1,1,Tắm,—,1,1,Hướng,—,1,1,Địa chỉ,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội, Việt Nam",1,1,Đơn vị,m²,1,1,https://houzez.mrlove.me/san-pham/ban-gap-nha-le-duc-tho-nam-tu-liem-kinh-doanh-o-to-88mx4t-mt-46m-gia-9-8-ty
